1,10,2,20
1,10,6,4
1,11,36,4
1,11,5,4
1,1,2,1
1,12,15,5
1,12,35,4
1,12,37,4
1,1,3,1
1,13,34,4
1,14,13,5
1,14,17,5
1,14,33,4
1,14,4,5
1,15,32,4
1,2,13,1
1,4,15,1
1,5,13,13
1,5,28,20
1,6,17,1
1,6,2,3
1,6,26,20
1,6,27,20
1,7,15,13
1,7,18,1
1,7,3,3
1,7,6,3
1,8,30,1
1,8,4,3
1,8,5,3
2,10,3,20
2,10,44,20
2,10,7,4
2,11,4,20
2,11,45,20
2,12,46,20
2,13,22,4
2,13,47,20
2,1,35,20
2,1,4,1
2,14,18,5
2,14,26,4
2,14,27,4
2,14,28,4
2,14,29,4
2,14,30,4
2,14,35,5
2,14,36,5
2,14,37,5
2,14,39,5
2,14,5,5
2,14,6,5
2,14,7,5
2,14,8,5
2,14,9,5
2,15,31,4
2,2,15,2
2,2,34,20
2,2,36,20
2,2,5,1
2,2,6,1
2,2,7,1
2,2,8,1
2,2,9,1
2,3,17,2
2,3,33,20
2,3,37,20
2,4,32,20
2,5,29,20
2,5,39,20
2,7,19,1
2,7,7,3
2,8,29,1
2,8,31,1
2,9,43,20
3,10,13,4
3,10,15,4
3,10,18,4
3,10,20,13
3,10,21,13
3,10,22,13
3,10,26,13
3,10,27,13
3,10,8,4
3,10,9,4
3,11,19,4
3,11,5,20
3,1,2,2
3,12,20,4
3,12,39,4
3,13,15,6
3,13,21,4
3,14,19,5
3,14,34,5
3,14,43,5
3,15,2,6
3,15,44,5
3,15,45,5
3,15,57,20
3,2,3,2
3,3,18,2
3,3,39,1
3,4,31,20
3,5,30,20
3,7,13,3
3,7,15,3
3,7,17,13
3,7,20,1
3,7,21,1
3,7,22,1
3,7,26,1
3,7,27,1
3,7,8,3
3,7,9,3
3,8,18,13
3,8,28,1
3,8,32,1
3,9,17,4
3,9,19,13
4,10,28,13
4,10,44,4
4,11,29,13
4,11,31,13
4,11,43,4
4,11,6,20
4,12,30,13
4,14,13,6
4,14,20,5
4,14,33,5
4,14,47,5
4,15,32,5
4,15,3,6
4,15,46,5
4,2,13,2
4,2,4,2
4,3,19,2
4,4,37,1
4,5,21,20
4,5,22,20
4,5,36,1
4,6,35,1
4,7,34,1
4,7,47,4
4,8,33,1
4,8,46,4
4,9,45,4
5,11,32,13
5,11,7,20
5,12,33,13
5,13,17,6
5,13,34,13
5,14,21,5
5,14,26,5
5,14,27,5
5,14,28,5
5,14,29,5
5,14,30,5
5,1,43,1
5,14,35,13
5,14,36,13
5,14,37,13
5,14,39,13
5,14,43,13
5,14,5,6
5,14,57,5
5,14,6,6
5,14,7,6
5,14,8,6
5,14,9,6
5,15,31,5
5,15,4,6
5,2,36,2
5,2,5,2
5,2,6,2
5,2,7,2
5,2,8,2
5,2,9,2
5,3,20,2
5,3,35,2
5,4,34,2
5,5,20,20
5,7,17,3
6,11,8,20
6,12,47,13
6,13,18,6
6,13,46,13
6,14,22,5
6,1,44,1
6,14,44,13
6,14,45,13
6,2,37,2
6,3,21,2
6,4,22,2
6,4,33,2
6,5,19,20
6,7,18,3
7,10,28,3
7,11,29,3
7,11,9,20
7,12,30,3
7,13,19,6
7,13,31,3
7,1,39,2
7,14,20,6
7,1,43,2
7,14,32,3
7,14,33,3
7,1,45,1
7,15,21,6
7,15,34,3
7,15,35,3
7,1,57,4
7,4,32,2
7,5,18,20
7,5,28,2
7,5,29,2
7,6,17,20
7,6,20,3
7,7,19,3
7,8,26,3
7,9,27,3
8,4,31,2
8,5,26,2
8,5,27,2
8,5,30,2
8,6,21,3
8,7,15,20
8,7,22,3
8,8,13,20
1,6,2,3
1,1,2,1
3,15,2,6
1,10,2,20
3,1,2,2
1,1,3,1
2,10,3,20
3,2,3,2
1,7,3,3
4,15,3,6
5,2,5,2
2,2,5,1
1,8,5,3
3,11,5,20
2,14,5,5
5,14,5,6
1,11,5,4
1,14,4,5
1,8,4,3
4,2,4,2
2,11,4,20
5,15,4,6
2,1,4,1
1,10,6,4
4,11,6,20
2,14,6,5
5,14,6,6
2,2,6,1
5,2,6,2
1,7,6,3
2,7,7,3
2,14,7,5
5,2,7,2
2,10,7,4
2,2,7,1
5,14,7,6
5,11,7,20
3,13,15,6
3,7,15,3
8,7,15,20
1,7,15,13
2,2,15,2
3,10,15,4
1,4,15,1
1,12,15,5
7,7,16,20
1,13,16,5
2,2,16,2
4,13,16,6
2,7,16,13
1,5,16,1
3,9,16,4
4,7,16,3
6,11,8,20
5,2,8,2
3,7,8,3
2,2,8,1
2,14,8,5
5,14,8,6
3,10,8,4
3,7,17,13
5,7,17,3
7,6,17,20
1,14,17,5
2,3,17,2
3,9,17,4
1,6,17,1
5,13,17,6
6,13,18,6
2,14,18,5
3,3,18,2
3,8,18,13
6,7,18,3
3,10,18,4
7,5,18,20
1,7,18,1
6,13,18,6
2,14,18,5
3,3,18,2
3,8,18,13
6,7,18,3
3,10,18,4
7,5,18,20
1,7,18,1
6,13,18,6
2,14,18,5
3,3,18,2
3,8,18,13
6,7,18,3
3,10,18,4
7,5,18,20
1,7,18,1
3,14,19,5
7,13,19,6
2,7,19,1
3,9,19,13
6,5,19,20
3,11,19,4
4,3,19,2
7,7,19,3
3,14,19,5
7,13,19,6
2,7,19,1
3,9,19,13
6,5,19,20
3,11,19,4
4,3,19,2
7,7,19,3
3,14,19,5
7,13,19,6
2,7,19,1
3,9,19,13
6,5,19,20
3,11,19,4
4,3,19,2
7,7,19,3
3,7,20,1
7,14,20,6
3,12,20,4
7,6,20,3
4,14,20,5
5,3,20,2
3,10,20,13
5,5,20,20
5,15,31,5
2,8,31,1
4,11,31,13
3,4,31,20
7,13,31,3
8,4,31,2
2,15,31,4
3,7,20,1
7,14,20,6
3,12,20,4
7,6,20,3
4,14,20,5
5,3,20,2
3,10,20,13
5,5,20,20
7,11,9,20
5,14,9,6
3,10,9,4
3,7,9,3
2,14,9,5
5,2,9,2
2,2,9,1
3,14,34,5
5,13,34,13
4,7,34,1
5,4,34,2
7,15,34,3
2,2,34,20
1,13,34,4
6,3,21,2
5,14,21,5
3,13,21,4
8,6,21,3
3,7,21,1
3,10,21,13
7,15,21,6
4,5,21,20
7,10,28,3
7,5,28,2
4,10,28,13
1,5,28,20
5,14,28,5
2,14,28,4
3,8,28,1
7,4,32,2
7,14,32,3
2,4,32,20
3,8,32,1
5,11,32,13
1,15,32,4
4,15,32,5
4,8,33,1
6,4,33,2
4,14,33,5
5,12,33,13
2,3,33,20
7,14,33,3
1,14,33,4
